update,name,kind,ref,snapshot_update,learner_wins,games,learner_winrate,pfsp_weight
10,scripted:balanced,scripted,balanced,0,9,40,0.225,0.6016250000000001
10,scripted:balanced_extreme,scripted,balanced_extreme,0,6,40,0.15,0.7234999999999999
10,scripted:base_rusher,scripted,base_rusher,0,35,40,0.875,0.016625
10,scripted:base_rusher_extreme,scripted,base_rusher_extreme,0,0,0,0.5,0.251
10,scripted:collector,scripted,collector,0,0,0,0.5,0.251
10,scripted:camper,scripted,camper,0,0,0,0.5,0.251
20,scripted:balanced,scripted,balanced,0,11,80,0.1375,0.7449062500000001
20,scripted:balanced_extreme,scripted,balanced_extreme,0,7,80,0.0875,0.83365625
20,scripted:base_rusher,scripted,base_rusher,0,59,80,0.7375,0.06990624999999998
20,scripted:base_rusher_extreme,scripted,base_rusher_extreme,0,0,0,0.5,0.251
20,scripted:collector,scripted,collector,0,0,0,0.5,0.251
20,scripted:camper,scripted,camper,0,0,0,0.5,0.251
30,scripted:balanced,scripted,balanced,0,12,120,0.1,0.811
30,scripted:balanced_extreme,scripted,balanced_extreme,0,7,120,0.058333333333333334,0.8877361111111111
30,scripted:base_rusher,scripted,base_rusher,0,75,120,0.625,0.141625
30,scripted:base_rusher_extreme,scripted,base_rusher_extreme,0,0,0,0.5,0.251
30,scripted:collector,scripted,collector,0,0,0,0.5,0.251
30,scripted:camper,scripted,camper,0,0,0,0.5,0.251
30,ckpt:25,checkpoint,/home/jupyter/til-ai-26/ae/training/../src/policy_rung1_u25.pt,25,0,0,0.5,0.251
